,Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
162,Peanut 65 Town 100 Gms,storese,Grocery & Staples,100,gm,50,45,10
163,Grapes Dry 18 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,50,45,10
164,Pepper Staff Town 50 Gms,storese,Grocery & Staples,50,gm,50,45,10
165,Pasta Spiral Town-500 gms,storese,Grocery & Staples,1,unit(s),50,45,10
166,Potato Papad Round Wavy Town 200gms,storese,Grocery & Staples,200,gm,50,45,10
167,Moong Chilka Organic Town 250 Gms,storese,Grocery & Staples,250,gm,50,45,10
168,Moong Green Organic Town 250 Gms,storese,Grocery & Staples,250,gm,50,45,10
169,Kalo Jeere Town 100 Gms,storese,Grocery & Staples,100,gm,50,45,10
170,Masoor Malka Whole Organic Town 250 Gms,storese,Grocery & Staples,250,gm,50,45,10
171,Rasam Powder MTR 100 Gms,storese,Grocery & Staples,100,gm,48,46,4.17
172,Kabuli Channa 24 Carat Town 250gms,storese,Grocery & Staples,250,gm,51,46,9.8
173,Avalakki White Pesticides Free Town 500 Gms,storese,Grocery & Staples,500,gm,52,47,9.62
174,Green Peas Organic Town 500 Gms,storese,Grocery & Staples,500,gm,53,48,9.43
175,Chakki Atta 18 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,53,48,9.43
176,Grapes Dry 24carat Town 100 gms,storese,Grocery & Staples,100,gm,54,49,9.26
177,Chakki Atta 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,55,50,9.09
178,Horse Gram 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,56,50,10.71
179,Jeera Black Town 100 Gms,storese,Grocery & Staples,100,gm,55,50,9.09
180,Rajma Red 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,55,50,9.09
181,Nutmeg (Jakai) Town 25 Gms,storese,Grocery & Staples,25,gm,55,50,9.09
182,Vangibath Powder 100gms-Town,storese,Grocery & Staples,100,gm,65,52,20
183,Jaggery Round 18 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,58,52,10.34
184,Rajma Red 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,58,52,10.34
185,Jeera 24 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,58,52,10.34
186,Koora Kaaram (Curry Chilli) Powder Prasastha 200 Gms,storese,Grocery & Staples,200,gm,55,52,5.45
187,Chicken Masala Powder Aachi 100 Gms,storese,Grocery & Staples,100,gm,55,52,5.45
188,Grapes Dry Premium Town 100 gms,storese,Grocery & Staples,100,gm,60,54,10
189,Black Til Town 100 Gms,storese,Grocery & Staples,100,gm,61,55,9.84
190,Papad Urad Plain Lijjat 200Gms,storese,Grocery & Staples,200,gm,60,57,5
191,Sambar Powder Organic Avadata 100Gms,storese,Grocery & Staples,100,gm,60,57,5
192,Soya Flour Town 250 Gms,storese,Grocery & Staples,250,gm,60,57,5
193,Tomato Vermicelli Desi Mealz 70Gms,storese,Grocery & Staples,70,gm,60,57,5
194,Sweet Corn ( Cream Style) Morton 400 g,storese,Grocery & Staples,400,gm,60,57,5
195,Ragi Flour 24 CaratTown 1Kg,storese,Grocery & Staples,1,kg,64,58,9.38
196,Urad Black Whole Organic Town 250 Gms,storese,Grocery & Staples,250,gm,64,58,9.38
197,Chilly Kashmiri Town 100 Gms,storese,Grocery & Staples,100,gm,64,58,9.38
198,Cinnamon (Chakke) 18 Carat Town 50 Gms,storese,Grocery & Staples,50,gm,64,58,9.38
199,Chutney Powder Groundnut Garlic Town 100G,storese,Grocery & Staples,100,gm,74,59,20.27
200,Jaggery Round 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,66,59,10.61
201,Wheat 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,66,59,10.61
202,Avare Bele Organic Town 250 Gms,storese,Grocery & Staples,250,gm,65,59,9.23
203,Coriander Seeds 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,66,59,10.61
204,Cumin Seeds Organic Town 100 g,storese,Grocery & Staples,100,gm,65,59,9.23
205,Sprinklers Chat Masala Catch 100Gms,storese,Grocery & Staples,100,gm,62,59,4.84
206,Chana Masala Catch 100Gms,storese,Grocery & Staples,100,gm,62,59,4.84
207,Rasam Powder Tamilnadu Style Town 100 Gms,storese,Grocery & Staples,100,gm,78,62,20.51
208,Chiroti Sooji Town 1 Kg,storese,Grocery & Staples,1,kg,69,62,10.14
209,Ragi 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,69,62,10.14
210,Avare Kalu 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,71,64,9.86
211,Jaggery Powder Pesticides Free Town 500 Gms,storese,Grocery & Staples,500,gm,71,64,9.86
212,Avare Bele 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,71,64,9.86
213,Millet Proso Flour Organic Pristine 500Gms,storese,Grocery & Staples,500,gm,72,65,9.72
214,Papad Urad 3 inches Town 250 Gms,storese,Grocery & Staples,250,gm,73,66,9.59
215,Papad Urad 4 inches Town 250 Gms,storese,Grocery & Staples,250,gm,73,66,9.59
216,Rasam Powder Organic Avadata 100Gms,storese,Grocery & Staples,100,gm,70,67,4.29
217,Urad Gola Whole 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,74,67,9.46
218,Avare Kalu 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,74,67,9.46
219,Ragi Flour Organic Town 500 Gms,storese,Grocery & Staples,500,gm,74,67,9.46
220,Urad Black Chilka Town 500 Gms,storese,Grocery & Staples,500,gm,74,67,9.46
221,Meat Masala Catch 100Gms,storese,Grocery & Staples,100,gm,70,67,4.29
222,Avare Bele 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,75,68,9.33
223,Millet Kodo Unpolished (Harka -Varagu) Town 500Gms,storese,Grocery & Staples,500,gm,75,68,9.33
224,Pearl millet (Sajje) Town 1 Kg,storese,Grocery & Staples,1,kg,75,68,9.33
225,Tandoori Chicken Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,72,68,5.56
226,Chicken Masala Catch 100Gms,storese,Grocery & Staples,100,gm,72,68,5.56
227,Pickle Tomato Town 300 Gms,storese,Grocery & Staples,300,gm,86,69,19.77
228,Kashmiri Rajma Town 500 Gms,storese,Grocery & Staples,500,gm,78,70,10.26
229,Cloves 18 Carat Town 50 Gms,storese,Grocery & Staples,50,gm,78,70,10.26
230,Millet Kodo (Harka -Varagu) Town 500Gms,storese,Grocery & Staples,500,gm,78,70,10.26
231,Millet Barnyard (Odalu -Kudiraivali Rice) Town 500Gms,storese,Grocery & Staples,500,gm,78,70,10.26
