Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
Horlicksrefill 500G,simplinamdharis,Beverages,500.0,gm,229.0,229.0,0.0
Unsugar Sweetner Box 50G,simplinamdharis,Beverages,50.0,gm,140.0,140.0,0.0
Tea - Taj Mahal,simplinamdharis,Beverages,500.0,gm,305.0,305.0,0.0
Mulethi Tea Bags 25S - Organic India,simplinamdharis,Beverages,25.0,unit(s),148.0,148.0,0.0
Navadarshanam Green Tea 100G,simplinamdharis,Beverages,100.0,gm,133.0,133.0,0.0
Navadarshanam Herbi Tea 100G,simplinamdharis,Beverages,100.0,gm,158.0,158.0,0.0
Tummy Tea Bags 25'S - Organic India,simplinamdharis,Beverages,25.0,unit(s),154.0,154.0,0.0
Mystical Assam 100 Gm - The Hillcart Tales,simplinamdharis,Beverages,100.0,gm,375.0,375.0,0.0
Alo Frut Orange Juice 300 Ml,simplinamdharis,Beverages,300.0,ml,40.0,40.0,0.0
Kings Coffee Mocha Super Smooth 280Ml,simplinamdharis,Beverages,280.0,ml,139.0,139.0,0.0
Coffee Sprinkles Silky Hazelnut Pack Of 5 - Snapin,simplinamdharis,Beverages,1.0,unit(s),99.0,99.0,0.0
Raw C P Juice Orange 100% 250Ml - Raw Pressery,simplinamdharis,Beverages,250.0,ml,100.0,100.0,0.0
Nescafe Sunrise Premium Jar 50G,simplinamdharis,Beverages,50.0,gm,100.0,100.0,0.0
Bayars Coffee Delight 200 Ml,simplinamdharis,Beverages,200.0,ml,100.0,100.0,0.0
Club Powder-250Gm - Lavazza,simplinamdharis,Beverages,250.0,gm,750.0,750.0,0.0
Diet Delite Keto Meal Protien Mix 200 G,simplinamdharis,Beverages,200.0,gm,500.0,500.0,0.0
Sparkling Grape & Cranberry 750 Ml - Valentino,simplinamdharis,Beverages,750.0,ml,325.0,325.0,0.0
Peach Juice With Pulp 250Ml - Vinut,simplinamdharis,Beverages,250.0,ml,40.0,40.0,0.0
Sparkling Lychee 750Ml - May Juice,simplinamdharis,Beverages,750.0,ml,350.0,350.0,0.0
Valentino Sparkling Red Grape Juice  750Ml,simplinamdharis,Beverages,750.0,ml,325.0,325.0,0.0
Moringa Can 100Gm - Organic India,simplinamdharis,Beverages,100.0,gm,225.0,225.0,0.0
Jasmine Tea Bags 25'S - Organic India,simplinamdharis,Beverages,25.0,unit(s),174.0,174.0,0.0
Organic India Tulsi Green Tea 100G Zip,simplinamdharis,Beverages,100.0,gm,175.0,175.0,0.0
Organic India Tulsi Ginger Turmeric 18 Tb,simplinamdharis,Beverages,18.0,unit(s),148.0,148.0,0.0
Organic Lavender Flower Sprizz 500Ml - Hollinger,simplinamdharis,Beverages,500.0,ml,250.0,250.0,0.0
Pristine Deccan Gold Premium Coffee 80:20 200G,simplinamdharis,Beverages,200.0,gm,90.0,90.0,0.0
Unsugar Sweetner Jar 150G,simplinamdharis,Beverages,150.0,gm,320.0,320.0,0.0
Magical Mint 7 Tb - The Hillcart Tales,simplinamdharis,Beverages,7.0,unit(s),135.0,135.0,0.0
Agni Leaf - Tata Tea,simplinamdharis,Beverages,250.0,gm,75.0,75.0,0.0
Green Tea Early Gray - Twinings,simplinamdharis,Beverages,25.0,unit(s),285.0,285.0,0.0
Jeera Lehaym Weight Management Drink 160G - Madilu,simplinamdharis,Beverages,160.0,gm,220.0,220.0,0.0
Sparkling Apple 750Ml - May Juice,simplinamdharis,Beverages,750.0,ml,350.0,350.0,0.0
Body Buddy Protein Drink Chocolate - Zago,simplinamdharis,Beverages,330.0,gm,120.0,120.0,0.0
Valentino Sparkling White Grape Juice  750Ml,simplinamdharis,Beverages,750.0,ml,325.0,325.0,0.0
Spice Carnival 14 Tb - The Hillcart Tales,simplinamdharis,Beverages,1.0,unit(s),250.0,250.0,0.0
Mixed Fruit Juice - Tropicana,simplinamdharis,Beverages,1.0,ltr,135.0,135.0,0.0
Mixed Fruit Juice - Tropicana,simplinamdharis,Beverages,200.0,ml,20.0,20.0,0.0
Brooke Bond Taj Mahal100Gm,simplinamdharis,Beverages,100.0,gm,62.0,62.0,0.0
Boost 500G Refil,simplinamdharis,Beverages,500.0,gm,234.0,234.0,0.0
Alo Frut Kiwi Juice 1 Ltr,simplinamdharis,Beverages,1.0,ltr,110.0,110.0,0.0
Coffee Sprinkles French Vanilla Pack Of 5 - Snapin,simplinamdharis,Beverages,1.0,unit(s),99.0,99.0,0.0
Funchies Ragi Puffs Tomato Chilli 35G,simplinamdharis,Branded Foods,35.0,gm,20.0,20.0,0.0
Good Day Butter - Britannia,simplinamdharis,Branded Foods,75.0,gm,10.0,10.0,0.0
American Style Cream & Onion - Lays,simplinamdharis,Branded Foods,70.0,gm,20.0,20.0,0.0
American Style Cream & Onion - Lays,simplinamdharis,Branded Foods,110.0,gm,35.0,35.0,0.0
Little Heart - Britannia,simplinamdharis,Branded Foods,75.0,gm,20.0,20.0,0.0
Cream Waffers Strawberry - Britannia,simplinamdharis,Branded Foods,75.0,gm,25.0,25.0,0.0
Kit Kat Chocolate - Nestle,simplinamdharis,Branded Foods,37.0,gm,25.0,25.0,0.0
Kit Kat Chocolate - Nestle,simplinamdharis,Branded Foods,18.0,gm,15.0,15.0,0.0
Mixture - Haldirams,simplinamdharis,Branded Foods,150.0,gm,30.0,30.0,0.0
Britannia Cream Wafers Orange,simplinamdharis,Branded Foods,75.0,gm,25.0,25.0,0.0
Spanish Tomato Tango - Lays,simplinamdharis,Branded Foods,30.0,gm,20.0,20.0,0.0
Spanish Tomato Tango - Lays,simplinamdharis,Branded Foods,110.0,gm,35.0,35.0,0.0
Dark Fantasy Choco Fills - Sunfeast,simplinamdharis,Branded Foods,84.0,gm,30.0,30.0,0.0
Dark Fantasy Choco Fills - Sunfeast,simplinamdharis,Branded Foods,150.0,gm,60.0,60.0,0.0
Fruit And Nut Chocolate - Cadbury,simplinamdharis,Branded Foods,38.0,gm,45.0,45.0,0.0
Treat Crème Wafers Vanilla - Britannia,simplinamdharis,Branded Foods,75.0,gm,25.0,25.0,0.0
Khatta Meetha - Haldirams,simplinamdharis,Branded Foods,150.0,gm,30.0,30.0,0.0
Khatta Meetha - Haldirams,simplinamdharis,Branded Foods,400.0,gm,65.0,65.0,0.0
Dark Fantasy Coffee Fills - Sunfeast,simplinamdharis,Branded Foods,75.0,gm,30.0,30.0,0.0
Kinder Joy   Boys - Ferrero,simplinamdharis,Branded Foods,20.0,gm,40.0,40.0,0.0
Smoothix Cocoalite Shake Bottle - Soul Full,simplinamdharis,Branded Foods,60.0,gm,75.0,75.0,0.0
Fuse - Cadbury,simplinamdharis,Branded Foods,45.0,gm,35.0,35.0,0.0
Kinder Joy   Girls - Ferrero,simplinamdharis,Branded Foods,20.0,gm,40.0,40.0,0.0
Britannia Vitamariegold 278 G,simplinamdharis,Branded Foods,278.0,gm,40.0,40.0,0.0
Smoothix Almond Shake Bottle - Soulfull,simplinamdharis,Branded Foods,60.0,gm,75.0,75.0,0.0
Nutties - Cadbury,simplinamdharis,Branded Foods,30.0,gm,40.0,40.0,0.0
Farmlite Digestive - Sunfeast,simplinamdharis,Branded Foods,100.0,gm,25.0,25.0,0.0
Farmlite Digestive - Sunfeast,simplinamdharis,Branded Foods,1.0,ltr,275.0,275.0,0.0
Ragi Cookies - Unibic,simplinamdharis,Branded Foods,75.0,gm,40.0,40.0,0.0
50:50 Time Pass Classic Salted - Britannia,simplinamdharis,Branded Foods,150.0,gm,20.0,20.0,0.0
Pure Magic Choco Lush - Britannia,simplinamdharis,Branded Foods,75.0,gm,30.0,30.0,0.0
Delishus Nut - Sunfeast,simplinamdharis,Branded Foods,75.0,gm,30.0,30.0,0.0
Dairy Milk Crackle Chocolate - Cadbury,simplinamdharis,Branded Foods,42.0,gm,45.0,45.0,0.0
