,Product_Category,Product_Name,Regular_Price,Sale_Price
332,grocery-and-staples,Sunflower Oil Gemini 1 Ltr,140,139
333,grocery-and-staples,Rice Diana (Diabetic) Organic Town 1 Kg,155,140
334,grocery-and-staples,Ghee GRB 200 Ml Jar,142,141
335,grocery-and-staples,Coco Powder Town 100 Gms,148,141
336,grocery-and-staples,Ayush Premium Gulkanda Future Organics 125gms,150,143
337,grocery-and-staples,Stevia Powder Future Organics 100 gms,150,143
338,grocery-and-staples,Black Pepper Powder Everest 100 Gms,150,143
339,grocery-and-staples,Black Pepper Powder MDH 100 Gms,150,143
340,grocery-and-staples,Himalayan Pink Salt Future Organics 500 gms,150,143
341,grocery-and-staples,Badam Seeds 24 Carat Town 100gms,160,144
342,grocery-and-staples,Cashewnut 2pc 24 Carat Town 100 Gms,160,144
343,grocery-and-staples,Poppy Seeds 24 Carat Town 100 Gms,160,144
344,grocery-and-staples,Dates Seedless Lion 500 Gms,154,146
345,grocery-and-staples,Millet Foxtail Idly Rava Organic Town 1 Kg,154,146
346,grocery-and-staples,Millet Kodo (Harka) Organic Town 1 Kg,164,148
347,grocery-and-staples,Motor Dal Bodi Town 250 Gms,165,149
348,grocery-and-staples,Millet Proso (Baragu) Organic Town 1 Kg,168,151
349,grocery-and-staples,Safflola  Gold Losorb  Oil 1 Ltr,158,155
350,grocery-and-staples,Pumpkin Seeds Dry Town Special 100g,164,156
351,grocery-and-staples,Cashew Whole 18 Carat Town 100 Gms,174,157
352,grocery-and-staples,Pineapple Dry Big Town 100Gms,200,160
353,grocery-and-staples,Phool Makhana Town 100 Gms,168,160
354,grocery-and-staples,Millet Brown Top (Korle) Town 500Gms,180,162
355,grocery-and-staples,Sprinklers Black Pepper Catch 100Gms,170,162
356,grocery-and-staples,Cold Pressed Virgin Coconut Oil Loil 210ml,165,164
357,grocery-and-staples,Amla Pickle Future Organics 160gm,175,166
358,grocery-and-staples,Dondakaya Pickle  Future Organics 160gms,175,166
359,grocery-and-staples,Garlic Pearl Pickle Future Organics 160gms,175,166
360,grocery-and-staples,Pickle Sweet Lemon With Chilli and Jaggery Madilu 150Gms,175,166
361,grocery-and-staples,Lemon Pickle Without Oil Future Organics 160gms,175,166
362,grocery-and-staples,Coriander Pickle  Future Organics 160gms,175,166
363,grocery-and-staples,Cashew Whole 24 Carat Town 100gms,184,166
364,grocery-and-staples,Cashew nut Organic Town 100Gms,184,166
365,grocery-and-staples,Tamarind 24 Carat Town 500 Gms,184,166
366,grocery-and-staples,Groundnut Oil Organic Pro Nature 500ml,210,168
367,grocery-and-staples,Cranberry Dry Town 100g,178,169
368,grocery-and-staples,Wheat Sambha Broken Town 1 Kg,191,172
369,grocery-and-staples,Groundnut Oil Filtered Safal 1 Ltr,175,174
370,grocery-and-staples,Cold Pressed Organic Virgin Coconut Oil Loil 200ml,175,174
371,grocery-and-staples,Gourmet Penne Rigate Del Monte 500 Gms,185,176
372,grocery-and-staples,Del Monte Elbow Macroni Pasta 500 Gms,185,176
373,grocery-and-staples,Anjoor (Figs Dried) Town 100 Gms,196,176
374,grocery-and-staples,Amaranth Seeds Town 500 Gms,199,179
375,grocery-and-staples,Cardamom  24 Carat Town 25 Gms,200,180
376,grocery-and-staples,Groundnut Oil Refined Safal 1 Ltr,185,184
377,grocery-and-staples,Gingelly Oil Idhayam 500 Ml (Cooking Purpose),188,187
378,grocery-and-staples,Wheat Grass Powder Organic Town 50Gms,199,189
379,grocery-and-staples,Pepper Tipli Honey Future Organics 100gms,200,190
380,grocery-and-staples,Idly Rava Organic Tattva Town 1 Kg,214,193
381,grocery-and-staples,Millet Little Upma Rava Organic Town 1 Kg,214,193
382,grocery-and-staples,Sundrop Oil Superlite 1 Ltr,195,194
383,grocery-and-staples,Cold Pressed Virgin Sesame Oil Loil 250ml,195,194
384,grocery-and-staples,Rava Idli MTR 1 Kg,205,195
